"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","ART_ACC_R1","ART_ACC_R2","ART_ACC_R3","ART_ACC_R4","ART_ACC_R5","ART_ACC_R6","ART_ACC_R7","COMMER_R1","COMMER_R2","COMMER_R3","COMMER_R4","COMMER_R5","COMMER_R6","COMMER_R7","CONS_R1","CONS_R2","CONS_R3","CONS_R4","CONS_R5","CONS_R6","CONS_R7","EDU_R1","EDU_R2","EDU_R3","EDU_R4","EDU_R5","EDU_R6","EDU_R7","HS1_R1","HS1_R2","HS1_R3","HS1_R4","HS1_R5","HS1_R6","HS1_R7","HS2_R1","HS2_R2","HS2_R3","HS2_R4","HS2_R5","HS2_R6","HS2_R7","HEALTH_R1","HEALTH_R2","HEALTH_R3","HEALTH_R4","HEALTH_R5","HEALTH_R6","HEALTH_R7","MANU_R1","MANU_R2","MANU_R3","MANU_R4","MANU_R5","MANU_R6","MANU_R7","RELIG_R1","RELIG_R2","RELIG_R3","RELIG_R4","RELIG_R5","RELIG_R6","RELIG_R7","UTIL_R1","UTIL_R2","UTIL_R3","UTIL_R4","UTIL_R5","UTIL_R6","UTIL_R7"
"SLC","earthquake","main_model","totMIGT","51.7536859126799","-0.109027111159015","-0.0718684185790902","-0.0740334678976143","-0.0639251211113415","-0.0586596477241091","-0.0852826811428073","-0.327185220531478","-0.0892110180531389","-0.0692972255858411","-0.0806449082919401","-0.0822022880120039","-0.0672340116354959","-0.0920945186117828","-0.190873753537604","-0.0398659331026395","0","-0.0635146662197115","0","0","0","1.28915582012162","0","-0.0585400944355085","0","0","-0.0352970604329008","-0.22600743170486","0.491488889880511","-0.294434489955191","-0.330322929019995","-0.342916016835596","-0.272167528614979","-0.239264338668342","-0.3345915665822","-0.886428781670051","-0.286485018854101","-0.33046744770008","-0.340660603362855","-0.26827799474697","-0.23379675635464","-0.332518006413374","-0.887709474393679","-0.175861116807066","-0.0730792557577953","-0.0719847713498085","-0.0684205277632819","-0.0724680010142012","-0.0877022473748104","-0.161476406777953","-0.0601820415416998","-0.809856393703089","-0.048916819179217","0","-0.0419481412511297","-0.0949323715500932","-0.270674624997786","-0.0991315466216097","-0.0767641133437638","-0.0781186489753121","-0.0685742622564805","-0.0831101165475944","0.096150033416908","-0.721262449728953","-0.0445567829313157","-0.0339229194082688","-0.0485847281675476","-0.00732494156274302","0","-0.0637707004197908","-0.862365981398391"
"SLC","earthquake","sectorRegion_model","MIGT_ HH1_R1","-0.187793234310407","-0.00166194409724154","-7.33411605261053e-05","0","0","0","0","0","-0.00192810033481382","-6.97889403000531e-05","-0.000126917669789338","-4.77514166654119e-05","-3.06601020361791e-05","-2.82578875798041e-05","0","0","0","0","0","0","0","0","0","-3.48373637652814e-05","0","0","0","0","0","-0.0082098315602191","9.68761416517593e-06","0","4.77731231975305e-05","2.46133197917183e-05","4.49384680416987e-05","0.000102033960112894","-0.0080516018216699","0","0","3.40433290237416e-05","1.45961730167707e-05","0","0","-0.000241095117581426","0","0","0","0","0","0","-0.000382029078969356","0","0","0","0","0","0","-0.00164601885503043","0","0","0","0","0","0","-0.00139183827269404","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH2_R1","0.465148481404032","-0.00707203844187885","-0.000102675833989312","0","0","0","0","0","-0.00933918109419634","-0.000307438942841721","-0.000558876513678956","-0.000107399483599092","-0.000103803453662186","0","0","0","0","0","0","0","0","0","0","-4.7686365291376e-05","0","0","0","0","0","-0.0641455721477715","0.000254091014630842","8.06503871676172e-05","0.000383602002207504","0.000206954714963222","0.000347124121317634","0.00088671361724904","-0.0627051140405231","9.29273936197183e-05","0","0.000149936122296753","0","0","0","0","0","0","0","0","0","0","-0.00127113695565239","0","0","0","0","0","0","-0.00634145635077862","0","0","0","0","0","0","-0.00305805664314577","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH3_R1","0.100692750251518","-0.0333523671931993","-0.000783815806684144","0","0","0","0","0","-0.0339839357162596","-0.00115909106222704","-0.00135358012734654","-0.00112864878853906","-0.000792853288940707","-0.00094924854732497","-0.00180314963748003","0","0","0","0","0","0","0","0","-0.000818814944854451","0","0","0","0","0","-0.112420719959261","0.00119081704882223","0.000801133958260909","0.00134008529760337","0.000818214077792478","0.00137194549044711","0.00404782733232087","-0.110787679196338","0.000929363051088143","0.000586302811486364","0.00105803374738329","0.000416544710156371","0.000443821441936739","0.00150720828804175","-0.00689340057705694","0","0","-0.000817130260353647","-0.000158124506719869","-0.000501384033484361","0","-0.0092001435432291","0","0","0","-0.000313895514884089","0","0","-0.0304125028351077","0","0","0","0","0","-0.00813544348147968","-0.0136093259017107","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH4_R1","0.15814311350681","-0.0179805921329727","0","0","0","0","0","0","-0.0191341363603158","-0.000806264257401923","-0.00105483240172222","-0.000145923148629272","-0.000189333183195968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.16668182694519","0.000785551257515319","0.000146225048897573","0.00109442083981793","0.000652114373737069","0.00109505554876158","0.00356611437651197","-0.162479360990284","0.00031842437655303","0","0.000332069977048351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0113872245733785","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH1_R2","1.58252125077467","-5.35285473234443e-05","-0.00465588088578316","-0.000141924802867729","-2.74368178232434e-05","0","0","-1.37115862293813e-05","0.000444847917918461","-0.004138777409413","-0.000234557698224939","-0.000309707282610096","-0.000140404200080377","-0.000106993897707231","-0.000495632071359574","-6.31254105802258e-05","0","-0.000662332883182618","-0.00856453585564739","0","0.0209230230820624","0","0","-0.00248880621771352","0.000519170074173293","-0.000667743416153737","0","0","0","0.000312501972358484","-0.0206255364049995","-0.000103356943054858","-0.000275439040140456","-0.000124047660394198","-0.000148568874401675","-0.000220018587714013","0.000268839982662619","-0.0206388344246037","-3.97408528858908e-06","-0.000209888879700288","-5.90946425937569e-05","-0.000163178839790599","-0.000343186344808536","0","-0.0061657655914186","-0.000119826664884731","-0.000173915003758444","-0.000243136468330988","-0.000231607916061629","-0.000414460142647907","0.000322802474750254","-0.0154871525973016","-0.000254923246759979","0","-0.000189530038604895","0.000317734819333555","-0.00884747403229209","0.000182249071744593","-0.00599801278650291","-0.000310978129348106","0","-0.000103543957886948","0","0","0","-0.00521194561753584","-3.28332192452023e-06","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH2_R2","5.53038934481417","-8.72944067097849e-05","-0.00664049775558066","0","0","0","0","0","0.000110965225168663","-0.00597721493769479","-0.000381513494159603","-0.000447974493631593","-0.000163557432384428","0","0","0","0","-0.00059139481844309","-0.0277454117183428","0","0.0401769742618229","0","0","-0.00192937173420497","0.000178226525447271","0","-0.000223701176415","0","0","0.000798111905021127","-0.0600526920537492","0.000204200901784532","0","5.96050997054923e-05","0.000138072391290136","0.000426488091905718","0.000557415767365895","-0.0600672382990525","0.000364101976459867","0","5.95854219755677e-05","0","0","0","-0.00560818793010409","0","-0.000309413824249435","-0.000372826430049856","0","0","0","-0.026886436673304","-0.000570612717289825","0","-0.000339651242392322","0","0","0","-0.00754940633686673","-0.000163198758370796","0","0","0","0","0","-0.0043384692999374","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH3_R2","6.75030611369242","-0.00102832349549508","-0.0165819999788754","0","0","0","0","0","-0.000364588630976511","-0.0129773580742297","-0.000762066660178958","-0.000959050829197953","-0.000483290830596157","-0.00016449674721421","-0.00114761887387518","0","0","-0.00147836606218916","-0.0179121784588523","0","0.0419137860286148","0","0","-0.00573721474557058","0","0","0","0","0","0.000942481414615593","-0.0684257662800303","0.000386548479028899","0","0.000130242518684328","0.000310386733589071","0.00139038355383739","0.000556323475304431","-0.068458906457979","0.000502954315836196","0","6.28337144662283e-05","0","0","0","-0.0135648756962012","0","-0.000815702962083355","-0.000819348553070699","-0.00021744147512093","-0.000552171464567395","-0.000655852473440448","-0.0167032104943659","-0.000550923955432291","0","-0.00066510041963883","0","0","-6.08250675742149e-05","-0.0169427457979351","-0.000416246571134008","0","0","0","0","0","-0.00904641892358837","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH4_R2","18.654247414128","-0.00170583588442977","-0.0209806593767772","0","0","0","0","0","-0.000952932206291979","-0.0162914214519275","-0.00114562004867793","-0.00180208253795056","-0.000730471552333169","0","0","0","0","-0.00107549984273826","-0.0751629061291045","0","0.0925383769721876","0","0","-0.0168845450545996","0","0","0","0","0","0.00215616810735098","-0.216202426798399","0.000975549303149712","0.00195182015892328","0.00161218870560223","0.00284579941642501","0.00808422664755632","0.00102541893142195","-0.216360539265144","0.00146529334632256","0.00183089545853792","0.0015692364937068","0.0011512944029697","0.000822948051309073","-0.00592208875459715","-0.015483173491911","0","-0.00199674999262412","-0.00111694669640034","0","0","-0.00122913554708891","-0.060934849372526","-0.000602098595643258","0","-0.00187805914414542","0","0","-0.00323920373288175","-0.018853917324451","0","0","0","0","0","0","-0.00242566816129672","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","MIGT_ HH1_R3","0.478769921975019","0","-0.000127790001535049","-0.00245541881112475","0","-4.93140126904606e-05","0","0","0.000223301137947213","-0.000111234555180645","-0.00282296584687469","-9.03648720154279e-05","-6.41723234009147e-05","-0.00010359682007172","-0.000202984329810393","-0.00347839108814227","0","0.000512754695891992","0","0.00151023316552254","-0.00353654710418666","0","0","-8.70059275781403e-05","-0.00112861686149276","0","0","0","0","0.000102453636265189","-0.000138347329101571","-0.0160291120625577","-7.29073665039054e-05","-5.26619918233652e-05","-8.55367877691159e-05","-0.000146326557597406","0","-0.00015115544109144","-0.0160175941930758","-8.56585803898848e-06","-5.48637799041414e-07","0","-2.75473267266704e-05","0","0","-0.00310336628851766","0","-0.000151454410172738","0","0","0.000323455856599126","0","-0.000377796404727124","0","-3.54085131986094e-06","-0.000503893702414318","0","0.000259380615781398","0","-0.00256005228273553","0","0","0","-0.00195488611491692","-3.03497474280906e-06","-0.000137806613236558","-0.00355144142480048","0","0","-0.00076922787765301","0"
